作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
胡瓜(黑刺)(元/公斤),2016年,24.98,58.46,50.44,19.73,7.27,10.18,18.26,18.18,20.99,46.95,26.35,8.71,
胡瓜(白刺)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
花胡瓜(元/公斤),2016年,38.56,95.12,74.06,25.69,14.26,29,45.38,29.32,36.28,89.56,41.25,18.71,
冬瓜(元/公斤),2016年,15,16,30.85,35.28,15.83,8.67,8,8,9,16.55,24.25,19.33,
苦瓜(元/公斤),2016年,35.02,69.38,84.49,45.50,29.71,24.46,22.73,25.38,39.85,92.58,68.66,48.79,
絲瓜(菱角)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(元/公斤),2016年,28.65,49.30,43.15,37.08,17.32,15.62,17.48,16.82,19.08,52.58,35.03,25.05,
扁蒲(元/公斤),2016年,14.05,38.42,35.83,26.60,9.29,-,-,-,-,43.17,34,14.80,
茄子(元/公斤),2016年,28.53,37.75,31.09,27.55,19.86,24.28,20.91,25.58,38.43,97.55,46.92,54.73,
番茄(黑柿)(元/公斤),2016年,25.66,34.80,43.38,44.95,48,36.67,23.33,26.35,37,61.03,90.50,60.42,
小蕃茄(聖女)(元/公斤),2016年,73.45,39.50,54.22,71.67,64.33,58.33,45.67,73.33,65,79,157.06,104.78,
甜椒(青椒)(元/公斤),2016年,24.83,43.46,42.89,37.96,22.33,35.93,34.78,20.50,33.88,79.90,95.18,43.38,
西瓜(大粒)(元/公斤),2016年,-,-,-,24.34,21.68,12.59,20.78,17.25,-,-,-,-,
西瓜(小粒)(元/公斤),2016年,-,-,25,20.47,21.50,11.57,18.17,21.83,7.81,25,-,-,
西瓜(無子)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(元/ 公斤),2016年,37.42,37,52.36,53.31,38.83,27.08,32.20,29.43,25.25,39.72,54.33,35,
洋香瓜(網狀紅肉)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(網狀青肉)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(光面青肉)(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
香瓜(美濃瓜)(元/公斤),2016年,-,-,69.67,46.33,39.53,38.87,42.23,44.60,33.80,25.56,52.50,-,
敏豆(四季豆)(元/公斤),2016年,53.07,95.42,74,59.50,52.42,55.23,74.93,86.86,106.59,140.20,96.83,49.29,
豇豆(元/公斤),2016年,35.67,53.50,51.22,52.33,28,19.71,30.42,40.40,43.67,81.13,70.67,33.33,
豌豆(元/公斤),2016年,62.55,118.54,70,98.33,-,-,-,-,-,-,121.58,82.63,
甜豌豆(元/公斤),2016年,59,103.25,67.33,74,-,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2016年,22.84,19.20,19.20,19.20,17.92,-,-,-,-,-,-,-,
菜豆(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
辣椒(元/公斤),2016年,42.50,48.75,87.09,92.91,75.64,53.50,81.20,87.67,95.67,111.37,151.34,103.68,
玉米筍(元/公斤),2016年,-,-,-,-,-,-,-,-,-,-,-,-,
