年度,地區別,雜糧類別,種植面積,收穫面積,每公頃平均產量,產量,
2015,雲林縣,粟,7.37,7.37,1200,8.844,
2015,嘉義縣,粟,0,0,0,0,
2015,屏東縣,粟,103.85,103.85,1801.5,187.086,
2015,台東縣,粟,241.28,240.58,1883.81,453.206,
2015,花蓮縣,粟,0,0,0,0,
2015,澎湖縣,粟,0,0,0,0,
2015,基隆市,粟,0,0,0,0,
2015, 新竹市,粟,0,0,0,0,
2015,嘉義市,粟,0,0,0,0,
2015,金門縣,粟,0,0,0,0,
2015,連江縣,粟,0,0,0,0,
2015,新北市,蜀黍,0,0,0,0,
2015,台北市,蜀黍,0,0,0,0,
2015,桃園市,蜀黍,0.15,0.15,2200,0.33,
2015,台中市,蜀黍,0.62,0.62,2701.61,1.675,
2015,台南市,蜀黍,0.5,0.5,2700,1.35,
2015,高雄市,蜀黍,0,0,0,0,
2015,宜蘭縣,蜀黍,0.25,0.25,1100,0.275,
2015,新竹縣,蜀黍,0,0,0,0,
2015,苗栗縣,蜀黍,0.19,0.19,4000,0.76,
2015,彰化縣,蜀黍,0.2,0.2,1200,0.24,
2015,南投縣,蜀黍,0,0,0,0,
2015,雲林縣,蜀黍,1.64,1.64,3231.71,5.3,
2015,嘉義縣,蜀黍,1.67,1.67,3769.46,6.295,
2015,屏東縣,蜀黍,2.68,2.68,2889.18,7.743,
2015,台東縣,蜀黍,0.55,0.55,3036.36,1.67,
2015,花蓮縣,蜀黍,0,0,0,0,
2015,澎湖縣,蜀黍,0.18,0.18,2300,0.414,
2015,基隆市,蜀黍,0,0,0,0,
2015, 新竹市,蜀黍,0,0,0,0,
2015,嘉義市,蜀黍,0,0,0,0,
2015,金門縣,蜀黍,1873.58,1873.58,1540.88,2886.969,
2015,連江縣,蜀黍,0,0,0,0,
2015,新北市,其他糧食作物,0.02,0.02,150,0.003,
2015,台北市,其他糧食作物,0,0,0,0,
2015,桃園市,其他糧食作物,0,0,0,0,
2015,台中市,其他糧食作物,39.4,39.4,2289.11,90.191,
2015,台南市,其他糧食作物,33.15,33.15,2696.41,89.386,
2015,高雄市,其他糧食作物,3,3,508.67,1.526,
2015,宜蘭縣,其他糧食作物,0.51,0.46,2997.83,1.379,
2015,新竹縣,其他糧食作物,0,0,0,0,
2015,苗栗縣,其他糧食作物,0.5,0.5,2000,1,
2015,彰化縣,其他糧食作物,76.01,76.01,1907.46,144.986,
2015,南投縣,其他糧食作物,3.3,3.3,2496.97,8.24,
2015,雲林縣,其他糧食作物,0,0,0,0,
2015,嘉義縣,其他糧食作物,51.43,51.43,2228.74,114.624,
2015,屏東縣,其他糧食作物,79.62,79.62,1792.26,142.7,
2015,台東縣,其他糧食作物,37.83,37.83,1528.68,57.83,
2015,花蓮縣,其他糧食作物,3.49,3.49,2376.79,8.295,
2015,澎湖縣,其他糧食作物,0,0,0,0,
2015,基隆市,其他糧食作物,0,0,0,0,
2015, 新竹市,其他糧食作物,0,0,0,0,
2015,嘉義市,其他糧食作物,0,0,0,0,
2015,金門縣,其他糧食作物,0,0,0,0,
2015,連江縣,其他糧食作物,0,0,0,0,
2015,新北市,大豆,0,0,0,0,
2015,台北市,大豆,0,0,0,0,
2015,桃園市,大豆,58.6,58.6,1155.8,67.73,
2015,台中市,大豆,99.25,99.25,1816.77,180.314,
2015,台南市,大豆,273.45,273.45,1446.73,395.607,
2015,高雄市,大豆,136.84,136.84,1764.94,241.515,
2015,宜蘭縣,大豆,2.46,2.46,1480.08,3.641,
2015,新竹縣,大豆,0,0,0,0,
2015,苗栗縣,大豆,84.64,84.64,1076.45,91.111,
2015,彰化縣,大豆,113.7,113.7,1461.04,166.12,
2015,南投縣,大豆,0,0,0,0,
2015,雲林縣,大豆,232.35,228.05,2078.83,474.078,
2015,嘉義縣,大豆,262.93,262.93,1752.66,460.827,
2015,屏東縣,大豆,309.9,309.9,1717.54,532.265,
2015,台東縣,大豆,0,0,0,0,
2015,花蓮縣,大豆,78.17,78.17,1425.61,111.44,
2015,澎湖縣,大豆,0,0,0,0,
2015,基隆市,大豆,0,0,0,0,
2015, 新竹市,大豆,0,0,0,0,
2015,嘉義市,大豆,0,0,0,0,
2015,金門縣,大豆,0,0,0,0,
2015,連江縣,大豆,0,0,0,0,
2015,新北市,花豆,0,0,0,0,
2015,台北市,花豆,0,0,0,0,
2015,桃園市,花豆,0,0,0,0,
2015,台中市,花豆,0,0,0,0,
2015,台南市,花豆,0.2,0.2,2750,0.55,
2015,高雄市,花豆,0.01,0.01,2000,0.02,
2015,宜蘭縣,花豆,0,0,0,0,
2015,新竹縣,花豆,0.05,0.05,1000,0.05,
2015,苗栗縣,花豆,0,0,0,0,
2015,彰化縣,花豆,0.95,0.95,2000,1.9,
2015,南投縣,花豆,0,0,0,0,
2015,雲林縣,花豆,0.3,0.3,2500,0.75,
